Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
incomplete,Special Coverage 14717,,2004-01-01,"On some 2005-2013 model year Chevrolet Corvette vehicles equipped with a manual transmission, the clutch system may fail if unapproved fluids are used to service the system or if a high-pressure pulse occurs during a clutch self-adjustment event. If the clutch system fails, the clutch pedal may not return if depressed. If the clutch pedal does not return, it may be possible to start the vehicle when the transmission is in any gear. This could result in unexpected vehicle movement when the engine is started.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YY25U675135654/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage N150643,,2003-03-10,"Some 2004-2009 model year Cadillac XLR and 2005-2013 model year Chevrolet Corvette vehicles, equipped with power seats, may have a condition where, the wire harness connector from the seat side airbag and buckle tensioner to the body has a design interference between the vertical adjust crossbar and the carpet.  When the seat is moved forward or back, the connector may be dragged along the carpet, pulling terminals loose or pulling the connector apart. This will cause a diagnostic trouble code to be set and the service airbag light will be illuminated.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YY25U675135654/gfas?cb=16777551996700.4782935067564471
complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2018 model year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, GMC Sierra, and GMC Yukon vehicles. In some circumstances, these vehicle may have a condition in which the engine-mounted mechanical vacuum pump output may decrease over time, decreasing the amount of vacuum/power brake assist.",.,Dealers will reprogram the electronic brake control module with a new calibration that will improve how the system utilizes the hydraulic brake boost assist function when vacuum assist is depleted.,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
incomplete,Brake Assist Decreased Due To Vacuum Loss,,2019-04-10,"Some 2014 – 2018 model year GM vehicles may have a condition where customers may experience increased brake pedal effort, hard brake pedal, and/or potentially increased stopping distance. The condition is more prevalent at low speed when softly applying the brakes. The engine mounted mechanical vacuum pump output may decrease over time decreasing the amount of vacuum/power brake assist. Failure to follow recommended oil change intervals could contribute to this condition. The Driver’s Information Center, (DIC) “Service brake assist” alert will activate 2-5 minutes after the vacuum level drops, and a Diagnostic Trouble Code, (DTC) will also be set. Even where this condition occurs, the hydraulic brake system remains functional but may require additional pedal force.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the vacuum pump and vacuum pump belt.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 14192 : UNWANTED TRANSFER CASE SHIFT TO NEUTRAL,14V374,2014-06-27,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014 model year Chevrolet Silverado 1500 and GMC Sierra 1500 vehicles, and 2015 model year Chevrolet Silverado, Suburban and Tahoe and GMC Sierra, Yukon and Yukon XL vehicles equipped with Automatic Transfer Case (Option Code NQH).  Some of these vehicles have a condition in which an electric signal short may cause the active transfer case to switch to neutral without operator input.  The transfer case mode selection knob would still indicate the last selected drive mode, and the driver will not have any feedback that the transfer case is in neutral.","If the transfer case switches to neutral while the vehicle is in motion, the customer would experience loss of motive power, which could increase the risk of a crash.  If the vehicle is parked, the vehicle could exhibit unintended motion if the parking brake is not set, which could also increase the risk of a crash.",Dealers will re-program software in the Transfer Case Control Module.,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 14541 : OWNER MANUAL SUPPLEMENT - DINGHY TOWING,,2014-10-27,,,,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
incomplete,# 17336 : Combi-Cooler Air Conditioner Refrigerant Leak,,2017-10-06,"Some 2015-2017 model year Cadillac Escalade, Escalade ESV, Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL vehicles, may have a condition where thermal cycling on the combination transmission fluid/oil and AC condenser cooler creates a crack that may allow refrigerant to escape. This condition consequently may deactivate the AC system which may cause potential customer annoyance.

This special coverage covers the condition described above for a period of 5 years or 60,000 miles (100,000 km) for Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL and 6 years or 72,000 miles (116,000 km) for Cadillac Escalade and Escalade ESV, whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to inspect the air conditioning condenser and replace if necessary.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 16007 : Frontal Airbag And Seat Belt Pretensioner Non Deploys,16V651,2016-09-08,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2017 model year Chevrolet Silverado LD, GMC Sierra LD, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, and Chevrolet Corvette vehicles, 2014-2016 model year Buick Lacrosse, Chevrolet Spark EV, and Chevrolet SS vehicles and 2015-2017 model year Chevrolet Silverado HD, GMC Sierra HD, GMC Yukon, GMC Yukon XL, Cadillac Escalade Cadillac Escalade ESV, Chevrolet Suburban, and Chevrolet Tahoe vehicles.  The sensing and diagnostic module (SDM) in these vehicles, which controls airbag and pretensioner deployment, contains a software defect which may prevent the deployment of frontal airbags and pretensioners in certain rare circumstances. If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","Reprogram the SDM with new software that eliminates this defect.  In vehicles with any previous deployment events recorded in the SDM, dealers will replace the existing SDM with a new SDM prior to programming and setup.  Note: Before replacing the SDM, any airbag related Diagnostic Trouble Codes should be identified, diagnosed, and corrected prior to SDM replacement.  Faulty SIR components in need of replacement are unrelated to this safety recall and are not covered under the terms of this safety recall.",https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 18289 : Bulletin Loss of Steering Assist,18V586,2018-09-07,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2015 model year Chevrolet Silverado LD, Suburban, and Tahoe vehicles; GMC Sierra LD and Yukon vehicles; Cadillac Escalade vehicles.  These vehicles may experience a temporary loss of EPS assist followed by a sudden return of EPS assist, particularly during low-speed turning maneuvers.  The loss and sudden return of EPS assist typically happens within a 1 second period and is caused by an electrical/software issue.","If EPS assist is lost and suddenly returned, the driver could have difficulty steering the vehicle, especially at low speeds, increasing the risk of a crash.",Dealers will perform a reflash of the EPS module software free of charge.,https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 14121 : TRANSMISSION OIL COOLER CONNECTION,14V152,2014-04-01,"General Motors is recalling certain model year 2014 Chevrolet Silverado Light Duty Regular Cab, Double Cab, and Crew Cab 1500 series and model year 2015 Suburban and Tahoe; GMC model year 2014 Sierra Regular Cab, Double Cab, and Crew Cab 1500 Series and model year 2015 Yukon and Yukon XL vehicles equipped with a 6-Speed Automatic Transmission (feature code MYC).  The subject vehicles may have a transmission oil cooler line that is not securely seated in the fitting.","If the line is not securely seated and transmission oil leaks from the fitting, the oil could contact a hot surface and cause a vehicle fire.","Dealers will inspect the transmission oil cooler line connection and repair the vehicles, as needed, free of charge.",https://www.chevrolet.com/ownercenter/api/1GNSKJKC9FR115577/gfas?cb=16777551996700.4782935067564471
complete,# 05037 : SECOND ROW CENTER SAFETY BELT,05V163,2005-07-14,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position.   Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group.  In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual.  Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",https://www.chevrolet.com/ownercenter/api/1GNEC13Z23R258055/gfas?cb=16777551996700.4782935067564471
incomplete,Daytime Running Lights (DRL) May Not Deactivate When Headlamps Are On,22V903,2022-12-08,"General Motors has decided that certain 2020 – 2023 model year Cadillac CT4 and CT5 vehicles; 2021 – 2023 model year Buick Envision vehicles; and 2022 – 2023 model year Cadillac Escalade and Escalade ESV, Chevrolet Silverado 1500, Suburban, and Tahoe, and GMC Sierra 1500, Yukon, and Yukon XL vehicles, fail to conform, in part, to S7.10.5 of Federal Motor Vehicle Safety Standard (FMVSS) No. 108, “Lamps, reflective devices, and associated equipment.”  The daytime running lamps (DRLs) may not deactivate when the headlamps are on, as required by S7.10.5, Table I-a. of FMVSS 108.","If the DRLs do not deactivate when the headlamps are on, the resulting glare could increase the risk of a crash.","General Motors will update the software in the vehicles’ Body Control Module (BCM) to correct the condition.  Owners who have accepted applicable terms and conditions will have the opportunity to accept these software changes using wireless over-the-air (OTA) technology without having to bring their vehicle to a dealership. Alternatively, owners may have their vehicle serviced at a GM dealer to receive these software updates",https://www.chevrolet.com/ownercenter/api/1GNSKFKD4NR113594/gfas?cb=16777551996700.4782935067564471
complete,Third Row Seatbelt Buckle Retention,22V617,2022-08-11,"General Motors has decided that a defect which relates to motor vehicle safety may exist in certain 2021 – 2022 model year Cadillac Escalade and Escalade ESV vehicles, 2021 – 2022 model year Chevrolet Suburban and Tahoe vehicles, and 2021 – 2022 model year GMC Yukon and Yukon XL vehicles.  In certain of these vehicles, the rivet that retains the buckle to the mounting bracket in the left or right side third-row seatbelt buckle assembly may not have been properly formed during the manufacturing process.","If the third-row seatbelt assembly is not properly riveted, it may not properly restrain occupants in a crash, increasing the risk of injury.",Dealers will inspect the rivet head formation on both the left and right side third row seatbelt buckle assemblies and replace seatbelt buckle assemblies as necessary.,https://www.chevrolet.com/ownercenter/api/1GNSKFKD4NR113594/gfas?cb=16777551996700.4782935067564471
complete,# 08278 : LOSS OF AIR CONDITIONING - REMOVE CONDENSER SHIELD - ** EXPIRES 09/30/09 **,,2008-09-04,,,,https://www.chevrolet.com/ownercenter/api/2CNDL33F186303183/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 12191,,2001-01-01,"Some 2006 model year Pontiac Pursuit, 2006-2007 model year Saturn ION, 2006-2009 model year Chevrolet Cobalt, 2007-2009 model year Chevrolet Equinox, Pontiac G5, and Torrent, and 2008-2009 model year Chevrolet Uplander and Pontiac Montana SV6 vehicles may have a condition where the plastic supply or return port on the fuel pump cracks and leaks fuel or fuel vapors. Fuel vapors, in the presence of an ignition source, could potentially cause a vehicle fire.  The symptoms of this condition are: a noticeable fuel odor while the vehicle is being driven or after it is parked; the Check Engine Soon light may be illuminated on the instrument cluster; if the crack is large enough, fuel may be observed on the ground, or vehicle performance may be affected

Under this special coverage, should a vehicle ever experience this condition, the owner must take the vehicle to their GM dealer and have the dealer inspect the vehicle, confirm the condition, and then repair that vehicle for free.",,,https://www.chevrolet.com/ownercenter/api/2CNDL33F186303183/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 10250,,2007-04-03,,,,https://www.chevrolet.com/ownercenter/api/2CNDL33F186303183/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14582,,2001-01-01,"On some 2008 model year (MY) Saturn Outlook; 2008-2009 MY Buick Allure, Chevrolet Equinox, Chevrolet Uplander, Pontiac G8, Pontiac Montana SV6, Pontiac Torrent, and Saturn VUE; 2008-2010 MY Hummer H3 and Pontiac G6; 2008-2011 MY Cadillac CTS, Cadillac SRX, and Chevrolet Impala; 2008, 2011-2012 MY Chevrolet Captiva; 2008-2011 MY Buick Enclave, Buick Lacrosse; 2008-2012 MY Chevrolet Colorado, Chevrolet Malibu, and GMC Canyon; 2009 MY Hummer H3T; 2009-2011 MY Buick Lucerne; 2009-2011 MY Chevrolet Traverse and GMC Acadia; and 2010-2011 MY Buick Regal vehicles, the throttle-position sensor may cause the engine to run rough, cause the malfunction-indicator lamp and/or an engine reduced power message to illuminate, and reduce the engine’s power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNDL33F186303183/gfas?cb=16777551996700.4782935067564471
complete,# 05027 : FUEL MODULE RESERVOIR ASSEMBLY,05V155,2005-10-11,Certain trucks and sport utility vehicles were built with fuel module reservoir assemblies that contain fuel pump wire connectors that may overheat under certain operating conditions.,"If the ignition circuit wire is exposed, the fuel pump fuse will blow, disabling the fuel pump and causing an engine stall or no-start condition.  If sufficient heat is conducted to the pass-through connector, a hole in the connector may result, which may cause a 'Service Engine Soon' light to be illuminated during the emission system diagnostic routine.  Fuel vapor and in some cases  liquid fuel may leak out of the fuel tank through the hole in the connector body.  Fuel leakage, in the presence of an ignition source, could result in a fire.  Also if the ignition circuit or ground wire is exposed and shorts to the fuel level sender card wires, inaccurate fuel level readings may result.","Dealers will remove the fuel tank, and remove the module reservoir assemblies from the tank, and install a new service kit free of charge.",https://www.chevrolet.com/ownercenter/api/1GNFK16T21J246000/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage N150643,,2003-03-10,"Some 2004-2009 model year Cadillac XLR and 2005-2013 model year Chevrolet Corvette vehicles, equipped with power seats, may have a condition where, the wire harness connector from the seat side airbag and buckle tensioner to the body has a design interference between the vertical adjust crossbar and the carpet.  When the seat is moved forward or back, the connector may be dragged along the carpet, pulling terminals loose or pulling the connector apart. This will cause a diagnostic trouble code to be set and the service airbag light will be illuminated.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YY36W095200054/gfas?cb=16777551996700.4782935067564471
complete,# 14203 : CORVETTE LOW-BEAM HEADLAMPS INOPERATIVE,,2014-12-04,,,,https://www.chevrolet.com/ownercenter/api/1G1YY36W095200054/gfas?cb=16777551996700.4782935067564471
incomplete,# 15682 : Fuel and Vapor Leaks due to cracks in the fuel pump module flange or leaks past the sender seal - 2007-2013 Chevrolet Corvette & 2007-2009 Cadillac XLR,,2017-01-13,"Some 2007 to 2009 model year XLR or 2007 to 2013 model year Corvette vehicles may have a condition where a fuel odor is detected, fuel droplets appear below the left-hand fuel tank with fuel gauge level above 1/2, or a malfunction indicator lamp illuminates due to a leak path in the left-hand fuel pump module flange.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the left hand fuel tank fuel pump module.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YY36W095200054/gfas?cb=16777551996700.4782935067564471
incomplete,Third Row Seatbelt Buckle Retention,22V617,2022-08-11,"General Motors has decided that a defect which relates to motor vehicle safety may exist in certain 2021 – 2022 model year Cadillac Escalade and Escalade ESV vehicles, 2021 – 2022 model year Chevrolet Suburban and Tahoe vehicles, and 2021 – 2022 model year GMC Yukon and Yukon XL vehicles.  In certain of these vehicles, the rivet that retains the buckle to the mounting bracket in the left or right side third-row seatbelt buckle assembly may not have been properly formed during the manufacturing process.","If the third-row seatbelt assembly is not properly riveted, it may not properly restrain occupants in a crash, increasing the risk of injury.",Dealers will inspect the rivet head formation on both the left and right side third row seatbelt buckle assemblies and replace seatbelt buckle assemblies as necessary.,https://www.chevrolet.com/ownercenter/api/1GNSCMKD8MR336155/gfas?cb=16777551996700.4782935067564471
incomplete,Daytime Running Lights (DRL) May Not Deactivate When Headlamps Are On,22V827,2022-11-03,"General Motors has decided that certain 2021 model year GMC Yukon and Yukon XL vehicles, Chevrolet Tahoe and Suburban vehicles, and Cadillac Escalade and Escalade ESV vehicles fail to conform, in part, to S7.10.5 of Federal Motor Vehicle Safety Standard (F/CMVSS) No. 108, “Lamps, reflective devices, and associated equipment.”  The daytime running lamps (DRLs) may not deactivate when the headlamps are on, as required by S7.10.5, Table I-a. of F/CMVSS 108.","If the DRLs do not deactivate when the headlamps are on, the resulting glare could increase the risk of a crash.",General Motors will update the software in the vehicles’ Body Control Module (BCM) to correct the condition.,https://www.chevrolet.com/ownercenter/api/1GNSCMKD8MR336155/gfas?cb=16777551996700.4782935067564471
complete,Airbag Light May Not Indicate Malfunction,21V421,2021-06-03,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2021 model year Buick Envision vehicles; Cadillac CT4, CT5, Escalade, and Escalade ESV vehicles; Chevrolet Corvette, Suburban, and Tahoe vehicles; and GMC Yukon and Yukon XL vehicles.  A software problem exists in certain of these vehicles which would cause a sensing diagnostic module (SDM) communications fault to illuminate the airbag malfunction indicator lamp, but only on alternating ignition cycles.  As a result, an SDM communications fault would not consistently illuminate the airbag light on every ignition cycle to indicate a problem to the driver.","A driver might not be warned of an SDM loss of communication fault which might indicate a problem with airbag deployment.  If airbags do not deploy appropriately in a crash, there is an increased risk of injury in that crash.","GM will update the software in the vehicles’ serial data gateway module.  Owners who have accepted applicable terms and conditions will have the opportunity to accept these software changes using wireless over-the-air (OTA) technology without having to bring their vehicle to a dealership.  Alternatively, owners may schedule to have the updates performed at a GM dealer.",https://www.chevrolet.com/ownercenter/api/1GNSCMKD8MR336155/gfas?cb=16777551996700.4782935067564471
incomplete,# 14350 : UNINTENDED IGNITION KEY ROTATION,14V400,2014-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ND52J8Y6331844/gfas?cb=16777551996700.4782935067564471
incomplete,# 03043 : TURN SIGNALS/HAZARD WARNING FLASHERS INOPERATIVE,03V327,2004-02-05,"Certain passenger vehicles have hazard warning switches that may experience solder joint cracking caused by rapid temperature transitions and the soldering process.  If solder joint cracking occurs and results in an open circuit, the turn signals/hazard lamps become intermittent or inoperative.","When the turn signals are inoperative, the driver cannot use them to signal intent to turn that could result in a crash.",Dealers will replace the hazard warning switch free of charge.,https://www.chevrolet.com/ownercenter/api/1G1ND52J8Y6331844/gfas?cb=16777551996700.4782935067564471
complete,# 03043 : TURN SIGNALS/HAZARD WARNING FLASHERS INOPERATIVE,03V327,2004-02-05,"Certain passenger vehicles have hazard warning switches that may experience solder joint cracking caused by rapid temperature transitions and the soldering process.  If solder joint cracking occurs and results in an open circuit, the turn signals/hazard lamps become intermittent or inoperative.","When the turn signals are inoperative, the driver cannot use them to signal intent to turn that could result in a crash.",Dealers will replace the hazard warning switch free of charge.,https://www.chevrolet.com/ownercenter/api/1G1ND52JX16143185/gfas?cb=16777551996700.4782935067564471
complete,# 14350 : UNINTENDED IGNITION KEY ROTATION,14V400,2014-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ND52JX16143185/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 09239,,2005-10-10,,,,https://www.chevrolet.com/ownercenter/api/1GNFK16337J217839/gfas?cb=16777551996700.4782935067564471
complete,# 08048 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,,2008-08-28,,,,https://www.chevrolet.com/ownercenter/api/1GNFK16337J217839/gfas?cb=16777551996700.4782935067564471
complete,# 10153 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,10V240,2010-06-08,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS).  A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short.  However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed.  These incidents resulted from a new failure mode attributed to the device's thermal protection feature.  The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge.  An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,https://www.chevrolet.com/ownercenter/api/1GNFK16337J217839/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator – Priority Group 6,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFK16337J217839/gfas?cb=16777551996700.4782935067564471
incomplete,# 17469 : Fuel Leaks at the Primary Fuel Pump Module Flange,,2018-04-18,"Some 2014-2017 model year Chevrolet Corvette vehicles, may have a condition where cracks on the top surface of the left fuel tank fuel pump module flange, may cause fuel odor, or a loss of fuel on the ground. A Check Engine lamp may illuminate if the fuel tank is less than half full.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the fuel pump module upon confirmation of the fuel pump module flange leak.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YB2D72E5131692/gfas?cb=16777551996700.4782935067564471
complete,# 16007 : Frontal Airbag And Seat Belt Pretensioner Non Deploys,16V651,2016-09-08,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2017 model year Chevrolet Silverado LD, GMC Sierra LD, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, and Chevrolet Corvette vehicles, 2014-2016 model year Buick Lacrosse, Chevrolet Spark EV, and Chevrolet SS vehicles and 2015-2017 model year Chevrolet Silverado HD, GMC Sierra HD, GMC Yukon, GMC Yukon XL, Cadillac Escalade Cadillac Escalade ESV, Chevrolet Suburban, and Chevrolet Tahoe vehicles.  The sensing and diagnostic module (SDM) in these vehicles, which controls airbag and pretensioner deployment, contains a software defect which may prevent the deployment of frontal airbags and pretensioners in certain rare circumstances. If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","Reprogram the SDM with new software that eliminates this defect.  In vehicles with any previous deployment events recorded in the SDM, dealers will replace the existing SDM with a new SDM prior to programming and setup.  Note: Before replacing the SDM, any airbag related Diagnostic Trouble Codes should be identified, diagnosed, and corrected prior to SDM replacement.  Faulty SIR components in need of replacement are unrelated to this safety recall and are not covered under the terms of this safety recall.",https://www.chevrolet.com/ownercenter/api/1G1YB2D72E5131692/gfas?cb=16777551996700.4782935067564471
complete,# 10153 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,10V240,2010-06-08,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS).  A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short.  However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed.  These incidents resulted from a new failure mode attributed to the device's thermal protection feature.  The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge.  An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,https://www.chevrolet.com/ownercenter/api/1GNFK13047J135130/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator – Priority Group 6,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFK13047J135130/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 09239,,2005-10-10,,,,https://www.chevrolet.com/ownercenter/api/1GNFK13047J135130/gfas?cb=16777551996700.4782935067564471
